,runtime,certificate,budget,release_day,release_year,result,Mystery,Romance,Sport,Sci-Fi,Family,Horror,Thriller,Musical,Crime,Drama,Fantasy,War,Animation,Music,Adventure,Action,Comedy,Western,Biography,History
60,121,R,9.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
61,114,PG-13,62.0,Friday,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
63,98,R,22.0,Friday,1995,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,88,R,0.8,Friday,1996,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
65,92,R,13.0,Friday,1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
66,100,R,60.0,Friday,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
67,102,PG-13,20.0,Friday,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,124,PG-13,98.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
70,96,PG,45.0,Friday,1995,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
71,123,R,20.0,Friday,1995,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,100,R,20.0,Friday,1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
76,98,R,8.0,Friday,1995,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
77,102,R,27.0,Friday,1995,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78,114,PG-13,22.0,Friday,1995,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
79,106,R,30.0,Friday,1995,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
80,95,R,15.0,Friday,1995,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
81,192,R,44.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
82,101,PG-13,25.0,Friday,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,91,R,50.0,Friday,1995,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
86,128,R,25.0,Wednesday,1995,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87,106,PG,30.0,Friday,1995,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,115,R,21.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
92,117,R,19.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
93,90,R,0.5,Friday,1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,112,R,7.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
98,83,R,2.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,98,R,0.238,Friday,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
101,139,PG-13,14.0,Friday,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
107,135,R,1.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,145,PG-13,75.0,Wednesday,1996,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
109,136,R,75.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
110,149,R,40.0,Wednesday,1996,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,120,PG-13,14.5,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,102,PG,36.0,Friday,1996,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
113,111,R,14.0,Friday,1996,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,108,R,19.0,Friday,1996,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
115,133,R,55.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
116,98,R,7.0,Friday,1996,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
117,92,PG-13,12.0,Friday,1996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,129,R,30.0,Wednesday,1996,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119,91,G,100.0,Friday,1996,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
120,89,PG,60.0,Friday,1996,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,139,R,50.0,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
122,106,PG-13,70.0,Friday,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,88,PG,80.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
124,110,PG-13,80.0,Wednesday,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
125,101,R,15.0,Friday,1996,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
126,162,R,27.0,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
127,147,R,44.0,Friday,1996,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
128,113,Approved,92.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
129,103,G,75.0,Wednesday,1996,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
130,79,PG,38.0,Friday,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
131,114,PG-13,27.0,Friday,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,113,PG-13,45.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
133,117,R,31.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,108,PG,26.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
135,109,R,4.5,Friday,1996,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
136,103,PG,26.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,121,R,65.0,Friday,1996,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
140,101,R,50.0,Friday,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
141,96,R,0.2,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
142,96,PG-13,47.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
143,95,PG-13,54.0,Friday,1996,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,115,R,100.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
146,110,R,30.0,Friday,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
149,129,R,36.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
150,115,PG-13,25.0,Friday,1996,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,135,R,45.0,Friday,1996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
152,93,R,8.5,Friday,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,111,PG-13,45.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
154,93,PG,20.0,Wednesday,1996,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
156,123,PG,32.0,Wednesday,1996,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
157,116,R,46.0,Friday,1996,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
158,109,R,4.1,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,120,PG,6.0,Friday,1996,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
161,121,R,80.0,Friday,1996,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
162,92,PG-13,31.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,108,R,50.0,Friday,1996,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
165,135,PG,55.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
167,98,PG-13,23.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,90,PG-13,12.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,133,R,25.0,Friday,1996,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
172,88,PG-13,15.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
173,135,R,5.0,Friday,1996,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,93,PG,39.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,129,PG-13,38.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
176,116,R,55.0,Friday,1996,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
177,84,R,4.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178,81,PG-13,18.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
179,107,R,3.3,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
181,81,PG-13,12.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
183,87,R,13.0,Friday,1996,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
184,84,R,25.0,Friday,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
185,85,R,4.0,Friday,1996,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,92,R,7.0,Friday,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
187,95,PG,25.53,Friday,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,113,R,50.0,Friday,1996,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
192,93,PG-13,15.0,Friday,1996,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
193,94,R,8.0,Friday,1996,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
194,101,PG-13,21.5,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
197,91,R,45.0,Friday,1996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
198,125,R,16.0,Friday,1996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
199,108,R,12.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
202,93,PG,30.0,Friday,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,105,PG-13,25.0,Friday,1996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
204,108,R,47.0,Friday,1996,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206,89,PG,17.0,Friday,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207,94,PG,24.0,Friday,1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
208,116,R,19.0,Friday,1996,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
211,86,R,1.0,Wednesday,1996,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
218,194,PG-13,200.0,Friday,1997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,126,R,10.0,Friday,1998,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,137,R,62.0,Friday,1998,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,98,PG-13,90.0,Wednesday,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
222,93,G,85.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
223,129,R,50.0,Friday,1997,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
224,155,R,15.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,125,PG-13,125.0,Friday,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
226,129,R,105.0,Friday,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
227,154,R,12.0,Thursday,1997,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
228,150,PG,90.0,Friday,1997,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229,106,PG-13,36.0,Friday,1997,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
230,144,R,57.0,Friday,1997,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
231,138,R,80.0,Friday,1997,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
232,96,R,60.0,Friday,1997,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,139,PG-13,50.0,Thursday,1997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
234,138,R,35.0,Friday,1997,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
235,89,PG-13,16.5,Friday,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
236,86,PG-13,45.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
237,94,G,50.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
238,127,PG,20.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
239,108,PG-13,116.0,Friday,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
240,135,PG-13,40.0,Friday,1997,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
241,134,R,15.0,Wednesday,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,92,PG,55.0,Wednesday,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
243,127,R,35.0,Friday,1997,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
244,124,R,85.0,Friday,1997,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
245,115,R,75.0,Friday,1997,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
246,120,R,24.0,Friday,1997,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,119,PG-13,110.0,Friday,1997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
248,105,PG,32.0,Friday,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
249,105,R,15.0,Friday,1997,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
250,136,PG-13,70.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
251,95,PG,9.0,Friday,1997,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
252,109,R,75.0,Wednesday,1997,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
253,89,PG-13,45.0,Friday,1997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
254,101,R,17.0,Friday,1997,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,107,R,15.0,Friday,1997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
256,129,PG-13,73.0,Friday,1997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
258,121,R,50.0,Friday,1997,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
259,93,R,36.0,Friday,1997,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
260,105,PG-13,38.0,Friday,1997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
261,96,R,40.0,Friday,1997,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
262,125,R,50.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
263,116,PG-13,68.0,Friday,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
264,155,R,36.0,Thursday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
265,124,R,60.0,Friday,1997,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
266,125,R,19.0,Friday,1997,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
267,177,R,80.0,Thursday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
268,105,R,30.0,Friday,1997,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,93,PG,80.0,Wednesday,1997,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
270,113,R,0.25,Friday,1997,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
272,93,PG,25.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
273,112,R,18.0,Wednesday,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275,95,PG-13,30.0,Friday,1997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
276,111,R,90.0,Wednesday,1997,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
277,91,R,3.5,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
278,105,R,25.0,Thursday,1997,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
279,98,PG,38.0,Friday,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,103,R,12.0,Friday,1997,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
281,134,PG-13,28.0,Friday,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
282,115,R,27.0,Friday,1997,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
283,155,R,35.0,Friday,1997,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
285,97,R,15.0,Friday,1998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
286,104,PG-13,90.0,Friday,1997,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
287,124,R,50.0,Friday,1997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
288,135,R,75.0,Friday,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
289,115,R,7.5,Friday,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
